artistName|artistUri|songName|songUri|songDuration|songPopularity|played_at
Giom|spotify:artist:43Of1c5VKtUcPmNZTLu2it|Hot Rabbits - Spiritchaser Remix|spotify:track:22QGqIGkPgCySsWIfiLHaS|482000|5|2021-04-19T01:03:50.146Z
Moe Turk|spotify:artist:12rv3gD3SpWQRRkswqlwvF|Lost|spotify:track:2t7MoYPZdgmGtoTyskyVr2|337735|24|2021-04-18T23:57:22.876Z
Etta James|spotify:artist:0iOVhN3tnSvgDbcg25JoJb|A Sunday Kind Of Love|spotify:track:0zGLlXbHlrAyBN1x6sY0rb|196133|71|2021-04-18T23:56:39.622Z
Alina K.|spotify:artist:1Pg8rh0BcD7t64YOWGFiwX|Walking Your Path - Full Intention Sunset Mix|spotify:track:6VGLQIcZm8tn4tBlaKsbrd|320702|37|2021-04-18T23:53:24.720Z
Tuplain|spotify:artist:7rju9kEAn7gtTnjCMtHhMj|The Vibes|spotify:track:13o9PO4h9qKcWTjwye6UCo|289970|32|2021-04-18T15:53:41.654Z
Alex Hook|spotify:artist:5crDtS0zvUv8JInPEHiige|Right Now - Original Mix|spotify:track:6uaKbpJpqnjzcj1QSnXzMr|314196|40|2021-04-18T15:51:13.752Z
Oscar L|spotify:artist:28KSeoYQphCQ5cGa0cuUCm|Cilene|spotify:track:7c7hYKXZUIxw2mZb9prURt|433920|26|2021-04-18T15:46:00.761Z
Blank & Jones|spotify:artist:2XTff332rrZaE1rBM47Krp|Give It to Me - Radio Mix|spotify:track:2Yc9LRJoNj0qwW0iY2tvRy|190032|43|2021-04-18T15:38:48.834Z
Blank & Jones|spotify:artist:2XTff332rrZaE1rBM47Krp|Give It to Me|spotify:track:0OX5T1ube9vDHHuDhmYA2J|330693|31|2021-04-18T15:35:40.718Z
Gianni Romano|spotify:artist:3GmVE58jiOKqS4WHGsxzCK|Down Down Down - Mhe Remix|spotify:track:7ioytCf95URx2afXlCJBS0|290768|33|2021-04-18T15:30:11.720Z
MHE|spotify:artist:5nEWKkUf6IA0Ry5wBOG1J0|You Rock My World - Gianni Romano vs. Emanuele Esposito Dub|spotify:track:26wsv13P6mGFKZGH7Hy5dM|357966|0|2021-04-18T15:25:18.577Z
AKMusique|spotify:artist:5m5LyE4hfKsQ3uVWQSCrzL|707 Ocean Drive - orginal|spotify:track:1jYG0UXMZRElGVGf5vkVIQ|290786|35|2021-04-18T15:19:22.741Z
Frankie Knuckles|spotify:artist:63yl9nDNrHpiAYGlNJxxjc|Let's Stay Home - A Director’s Cut Classic Club Mix|spotify:track:18RIAEXnNdbqtJkgUqaYfZ|465978|32|2021-04-18T15:14:33.790Z
Diana Ross|spotify:artist:3MdG05syQeRYPPcClLaUGl|Love Hangover - Eric Kupper Remix|spotify:track:4sZPNRKaC7KedrsiX2LsMR|228581|32|2021-04-18T15:06:48.731Z
B.B. King|spotify:artist:5xLSa7l4IV1gsQfhAMvl0U|The Thrill Is Gone|spotify:track:3cg0dJfrQB66Qf2YthPb6G|301133|64|2021-04-18T14:57:01.801Z
Random Soul|spotify:artist:7CDm8EfbpNlHa4HmvFo0bm|Watchin' You - Spiritchaser Remix|spotify:track:6Mf7QQ01ZVgnJjIOaD1VNx|422269|4|2021-04-18T14:19:06.708Z
Frankie Knuckles|spotify:artist:63yl9nDNrHpiAYGlNJxxjc|Let's Stay Home - A Director’s Cut Classic Club Mix|spotify:track:18RIAEXnNdbqtJkgUqaYfZ|465978|32|2021-04-18T03:30:35.528Z
Matthias Meyer|spotify:artist:6bWakzaLHaNewLTdhJHPQb|Hope|spotify:track:7DfTTnFaBsjdmLV4DAvvAh|478442|17|2021-04-18T03:16:11.008Z
Alex Hook|spotify:artist:5crDtS0zvUv8JInPEHiige|Right Now - Original Mix|spotify:track:6uaKbpJpqnjzcj1QSnXzMr|314196|40|2021-04-18T00:50:50.714Z
Tycho|spotify:artist:5oOhM2DFWab8XhSdQiITry|Jetty|spotify:track:4e0YtDwcwZuf8FCdjaMDWs|233417|43|2021-04-17T18:46:56.638Z
